epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,94.9813,0.86844,0.85107,1,0.38819,0.0004125,0.0004125,0.0004125
2,229.302,0.39658,0.88911,1,0.35426,0.000812749,0.000812749,0.000812749
3,367.844,0.39469,0.88661,1,0.30596,0.0011965,0.0011965,0.0011965
4,461.394,0.38982,0.88179,1,0.32521,0.00117575,0.00117575,0.00117575
5,558.614,0.35295,0.91268,1,0.2623,0.001151,0.001151,0.001151
6,648.324,0.35822,0.90054,1,0.28829,0.00112625,0.00112625,0.00112625
7,738.646,0.31215,0.90768,1,0.26497,0.0011015,0.0011015,0.0011015
8,849.133,0.25595,0.90679,1,0.29135,0.00107675,0.00107675,0.00107675
9,962.119,0.23842,0.89768,1,0.32902,0.001052,0.001052,0.001052
10,1065.66,0.23449,0.92429,1,0.22116,0.00102725,0.00102725,0.00102725
11,1155.43,0.22135,0.91839,1,0.25223,0.0010025,0.0010025,0.0010025
12,1351.39,0.18864,0.94107,1,0.1965,0.00097775,0.00097775,0.00097775
13,1470.4,0.1837,0.94571,1,0.17341,0.000953,0.000953,0.000953
14,1566.35,0.17444,0.93964,1,0.19246,0.00092825,0.00092825,0.00092825
15,1658.11,0.18351,0.93071,1,0.21365,0.0009035,0.0009035,0.0009035
16,1751.31,0.16966,0.94964,1,0.17225,0.00087875,0.00087875,0.00087875
17,1843.77,0.16886,0.93446,1,0.23081,0.000854,0.000854,0.000854
18,1935.47,0.15632,0.94143,1,0.19289,0.00082925,0.00082925,0.00082925
19,2026.37,0.15834,0.93946,1,0.20122,0.0008045,0.0008045,0.0008045
20,2121.19,0.1325,0.94786,1,0.16662,0.00077975,0.00077975,0.00077975
21,2213.02,0.09164,0.94411,1,0.19111,0.000755,0.000755,0.000755
22,2306.33,0.10324,0.94768,1,0.17291,0.00073025,0.00073025,0.00073025
23,2397.9,0.1226,0.94607,1,0.19633,0.0007055,0.0007055,0.0007055
24,2498.42,0.11173,0.93321,1,0.24316,0.00068075,0.00068075,0.00068075
25,2590.9,0.12226,0.945,1,0.19472,0.000656,0.000656,0.000656
26,2681.52,0.10444,0.94536,1,0.18207,0.00063125,0.00063125,0.00063125
27,2772.72,0.09355,0.93696,1,0.24658,0.0006065,0.0006065,0.0006065
28,2863.85,0.07409,0.94911,1,0.17336,0.00058175,0.00058175,0.00058175
29,2956.7,0.09541,0.93286,1,0.23838,0.000557,0.000557,0.000557
30,3050.03,0.10394,0.94732,1,0.19934,0.00053225,0.00053225,0.00053225
31,3144.62,0.07546,0.94804,1,0.18582,0.0005075,0.0005075,0.0005075
32,3237.5,0.08749,0.94321,1,0.21474,0.00048275,0.00048275,0.00048275
33,3328.51,0.07558,0.95196,1,0.20425,0.000458,0.000458,0.000458
34,3419,0.07423,0.94964,1,0.20234,0.00043325,0.00043325,0.00043325
35,3511.27,0.06041,0.95125,1,0.1925,0.0004085,0.0004085,0.0004085
36,3605.87,0.06558,0.93161,1,0.30538,0.00038375,0.00038375,0.00038375
37,3699.52,0.05438,0.9475,1,0.19436,0.000359,0.000359,0.000359
38,3790.54,0.05548,0.95554,1,0.17358,0.00033425,0.00033425,0.00033425
39,3883.43,0.05209,0.95286,1,0.19023,0.0003095,0.0003095,0.0003095
40,3975.24,0.04458,0.95196,1,0.18392,0.00028475,0.00028475,0.00028475
41,4067.17,0.04161,0.95536,1,0.16695,0.00026,0.00026,0.00026
42,4158.8,0.0514,0.95125,1,0.18167,0.00023525,0.00023525,0.00023525
43,4250.23,0.04462,0.95089,1,0.1878,0.0002105,0.0002105,0.0002105
44,4341.18,0.04496,0.95357,1,0.17408,0.00018575,0.00018575,0.00018575
45,4433.93,0.04075,0.95536,1,0.16562,0.000161,0.000161,0.000161
46,4527.77,0.03616,0.95464,1,0.17455,0.00013625,0.00013625,0.00013625
47,4637.11,0.03255,0.95304,1,0.17559,0.0001115,0.0001115,0.0001115
48,4728.57,0.04081,0.95554,1,0.17757,8.675e-05,8.675e-05,8.675e-05
49,4820.17,0.04114,0.95625,1,0.16903,6.2e-05,6.2e-05,6.2e-05
50,4912.29,0.0401,0.95643,1,0.17491,3.725e-05,3.725e-05,3.725e-05
